Show Number, Air Date, Category, Value, Question, Answer
4917,2006-01-17,"WOMEN LEADERS","None","It's the world's most populous country with a female head of government, Khaleda Zia","Bangladesh"
4933,2006-02-08,"MILESTONES","None","In 1994, 25 years after this event, 1 participant said, ""For one crowning moment, we were creatures of the cosmic ocean""","the Apollo 11 landing on the Moon"
5202,2007-04-03,"COUNTRIES OF THE WORLD","None","In 1839 Thomas Buchanan, cousin of a U.S. president, became the first governor of this future country","Liberia"
2680,1996-04-05,"FOREIGN WARS","None","It was the first war covered by both newspaper reporters & photographers","The Crimean War"
5446,2008-04-21,"MILITARY MEN","None","In a 1944 speech, he said, ""Battle is the most magnificent competition in which a human being can indulge""","George Patton"
6164,2011-06-02,"THE TONY AWARDS","None","There has never been a Tony award winner for best musical set on either of these 2 continents","Antarctica and Australia"
67,1984-12-11,"WOMEN IN HISTORY","None","Arrested for voting in 1872 election, she died 14 years before the 19th Amendment","Susan B. Anthony"
3236,1998-10-05,"STATE SONGS","None","The titles of the state songs of Kansas & Kentucky both contain this word","Home"
2378,1994-12-28,"ETYMOLOGY","None","Until 1946, this word usually meant a mathematician; since then, it's come to mean a machine","a computer"
6001,2010-10-18,"U.S. CURRENCY","None","It's the only U.S. coin or bill produced in 2010 that features the private home of a president on the reverse","the nickel"
5380,2008-01-18,"BIBLICAL NAMES","None","The name of this rebellious young man of the Old Testament can be translated from the Hebrew as ""father of peace""","Absalom"
4906,2006-01-02,"ANCIENT BIOGRAPHERS","None","Born around 46 A.D., he spent time in both Greece & Rome & wrote to encourage respect between the 2 cultures","Plutarch"
3727,2000-11-14,"20th CENTURY PEOPLE","None","David Ben-Gurion described her as ""The only man in my cabinet""","Golda Meir"
5751,2009-09-21,"THE INTERNET","None","In a registered website domain name, it's the only mark allowed that isn't a letter, number or the dot","a dash"
6042,2010-12-14,"OLYMPICS HISTORY","None","In 1988 this country boycotted the Summer Olympics after its demand to co-host the games was refused","North Korea"
3970,2001-11-30,"BESTSELLING AUTHORS","None","One of the world's bestselling novelists, he created TV's ""I Dream of Jeannie""","Sidney Sheldon"
5849,2010-02-04,"20th CENTURY PEOPLE","None","The July 1, 1946 cover of Time magazine depicted him with the caption, ""All matter is speed and flame""","Albert Einstein"
4860,2005-10-28,"CAPITAL CITIES","None","Home to the oldest cathedral & the oldest university in the Americas, this capital was founded in 1496","Santo Domingo"
5004,2006-05-18,"LEGAL TERMS","None","Congress has passed 2 laws named for this, defined as inciting rebellion: one in 1918 and one 120 years earlier","sedition"
3121,1998-03-09,"WORD ORIGINS","None","These 2 words, for a political plan of attack & a drink used to celebrate a win, come from the same root","Campaign & champagne"
4727,2005-03-08,"THE SCIENCE WORLD","None","With Napoleon III's support, a physiological chemistry lab was created for him at the Ecole Normale Superieure","(Louis) Pasteur"
740,1987-11-20,"19th CENTURY DEMOCRATS","None","He said, ""I am the last president of the United States""","James Buchanan"
276,1985-09-30,"RECENT HISTORY","None","President under whom the U.S. gave full recognition to Communist China","Jimmy Carter"
2904,1997-03-27,"ANCIENT CITIES","None","The ancient city of Byzantium occupied the site of what is now this city","Istanbul, Turkey"
5698,2009-05-20,"ENGLISH HISTORY","None","It was the ""they"" in the medal issued by Elizabeth I reading, ""God breathed and they were scattered""","the Spanish Armada"
5384,2008-01-24,"RICH & FAMOUS","None","At $900 million, his fortune was once 2% of the GNP; by his death in 1937, he was down to about $26 million","John Rockefeller"
5026,2006-06-19,"WORD ORIGINS","None","From the name of a committee created by Gregory XV to spread the faith, it means info used to spread a belief","propaganda"
5642,2009-03-03,"ASTRONOMY","None","In 1610 Galileo called the moons of this planet the ""Medician stars"", for the Medici brothers","Jupiter"
1653,1991-11-06,"TRANSPORTATION","None","The world's 14th largest airline is based in this 240-square-mile island nation","Singapore (Singapore Airlines)"
6190,2011-07-08,"THE OLYMPICS","None","If he had been his own country, at the 2008 Summer Olympics he would have tied for ninth in gold medals","Michael Phelps"
5222,2007-05-01,"FICTIONAL CHARACTERS","None","He's the character mentioned in the first line of ""Atlas Shrugged""","John Galt"
5883,2010-03-24,"ANIMATED MOVIES","None","The answer to the title of this Oscar winner is Judge Doom","Who Framed Roger Rabbit"
4791,2005-06-06,"CONTEMPORARY QUOTATIONS","None","On Dec. 13, 2000 he said, ""While I strongly disagree with the court's decision, I accept it""","Al Gore"
5056,2006-09-11,"PLANTS","None","In tropical Africa it's the main source of calories in the diet; in the U.S. it gives us a pudding","tapioca (or cassava)"
1271,1990-02-26,"U.S. STATES","None","After Rhode Island & Delaware, it's the next smallest state in area","Connecticut"
4926,2006-01-30,"WORLD MONEY 2005","None","This U.S. sports figure (born 1940) became the only living person ever on a Scottish note besides the Queen & her mum","Jack Nicklaus"
5471,2008-05-26,"DEMOGRAPHICS","None","In 2005 the World Health Organization appropriately decided to stop hiring people who do this","smoke"
4526,2004-04-19,"INTERNATIONAL ORGANIZATIONS","None","From 1894 to 1896 this committee was headed by Dimitrios Vikelas","the International Olympic Committee"
4966,2006-03-27,"MILITARY HISTORY","None","In 2005 a single sapling was planted at an army barracks in Australia to mark the 90th anniversary of this battle","Gallipoli"
619,1987-04-23,"GAY '90s","None","By 1897, as many as half of Seattle's police & firemen had left the city to go there","the Yukon"
3079,1998-01-08,"ECONOMISTS","None","In 1980 he hosted a 10-part PBS series & co-authored the companion book, both titled ""Free to Choose""","Milton Friedman"
3683,2000-09-13,"FAMOUS PEOPLE","None","On January 27, 1999 he returned home aboard a TWA 767 designated Shepherd I","Pope John Paul II"
4773,2005-05-11,"FAMOUS PAIRS","None","Now meaning nearly identical, these 2 names were applied to rivals Handel & Bononcini in a 1720s British verse","Tweedledum & Tweedledee"
3027,1997-10-28,"20th CENTURY POLITICIANS","None","He was the first incumbent vice president to be elected president since 1836","George (Herbert Walker) Bush"
3448,1999-09-08,"HOLIDAY QUOTES","None","In the end this Dickens character says, ""I will honor Christmas in my heart, and try to keep it all the year""","Ebenezer Scrooge"
6232,2011-10-25,"CLASSIC GAMES","None","Monopoly creator Charles Darrow's sole quote in ""the Yale Book of Quotations"" includes this 3-digit number","200"
5091,2006-10-30,"GEOGRAPHY","None","The only place where 4 countries meet at one point is found on this continent","Africa"
4907,2006-01-03,"U.S. CITIES","None","Its name includes the county of which it's the seat & the state of which it's the capital","Oklahoma City"
4736,2005-03-21,"WORLD FACTS","None","In 2004 Brenda Christian became the first woman mayor of this island with a population of about 47","Pitcairn Island"
3332,1999-02-16,"MYTHOLOGICAL HEROES","None","To defeat some of his enemies, this son of Zeus turned them into stone","Perseus"
2989,1997-09-04,"REPUBLICANS","None","He died in Topeka October 12, 1987, a month after his 100th birthday","Alf Landon"
4972,2006-04-04,"GERMAN AMERICANS","None","He famously remarked, ""We are all the President's men"", giving Woodward & Bernstein their title","Henry Kissinger"
5054,2006-07-27,"AMERICAN WOMEN AUTHORS","None","Henry James called her ""the Thackeray, the Trollope, of the nursery and the schoolroom""","Louisa May Alcott"
3945,2001-10-26,"'90s MOVIES","None","It was based on the true story of the 4 Niland brothers of Tonawanda, New York","Saving Private Ryan"
5602,2009-01-06,"HISTORIC STRUCTURES","None","Pope Sixtus' death in 1590 ended his plan to convert this, still in Rome today, to a wool factory to employ city prostitutes","the Colosseum"
5012,2006-05-30,"COUNTRIES OF THE WORLD","None","For over a decade starting from 1807, this nation's capital was moved to a city in South America","Portugal"
777,1988-01-12,"DRAMA","None","This play is divided into ""parts"", not acts, with the 2nd titled ""The Gentleman Calls""","The Glass Menagerie"
5780,2009-10-30,"PRESIDENTIAL NAMES","None","He's the only president whose first & last names contain the same pair of double letters","Millard Fillmore"
3841,2001-04-23,"BASEBALL HALL OF FAMERS","None","A Red Sox pitcher, later a Yankee, he held the World Series record for consecutive scoreless innings from 1918 to 1961","Babe Ruth"
3876,2001-06-11,"FAMOUS AMERICANS","None","This man was nearby at the assassination of 3 U.S. presidents, one of whom was his father","Robert Todd Lincoln"
5247,2007-06-05,"AMERICAN LITERATURE","None","Subtitles of books in this 19th century series include ""A Tale"", ""The Inland Sea"" & ""The First War-Path""","Leatherstocking Tales"
3835,2001-04-13,"THE SUPREME COURT","None","Charles Evans Hughes was appointed to the court by this man whom he later succeeded as Chief Justice","William Howard Taft"
5608,2009-01-14,"CHARACTERS IN PLAYS","None","This woman wished to be taken to ""Bucknam Pellis...don't you know where it is? In the Green Park, where the king lives""","Eliza Doolittle"
4286,2003-03-31,"ANCIENT EGYPTIAN CUSTOMS","None","When a pharaoh died, his heart was carved out & replaced with a stone rendering of this tiny creature","a scarab beetle"
2872,1997-02-11,"COUNTRIES OF THE WORLD","None","The name of this country derives from an Iroquoian term meaning ""village"" or ""community""","Canada"
5303,2007-10-03,"ISLANDS","None","In 2003 Emily Rose Christian became the first baby born on this island in 17 years, bringing the population to nearly 50","Pitcairn Island"
5015,2006-06-02,"EUROPEAN LITERARY CLASSICS","None","In this 1832 German work, the title character is followed home by a poodle that changes into something evil","Faust (by Goethe)"
4600,2004-09-10,"PATRON SAINTS","None","In November 2000, Pope John Paul II proclaimed this 16th century Englishman as the patron saint of politicians","Sir Thomas More"
3016,1997-10-13,"BESTSELLERS","None","This 1974 bestseller was originally subtitled ""A Novel of a Girl with a Frightening Power""","Carrie (by Stephen King)"
2972,1997-07-01,"HISTORIC U.S. SITES","None","Vitascope Hall in New Orleans is said to be the first of these in the U.S.","movie theater"
3156,1998-04-27,"WEIGHTS & MEASURES","None","A unit of length measuring 6 feet, or a verb meaning to comprehend","Fathom"
6215,2011-09-30,"THE OLYMPICS","None","Aside from racquet sports, one of the 2 other Summer Olympic sports in which men may currently compete against women","equestrian events or sailing"
4591,2004-07-19,"OPERA","None","The libretto for ""William Tell"" was in this language, the native tongue of neither the composer, Rossini, nor the subject","French"
2953,1997-06-04,"ENDANGERED SPECIES LIST","None","Added to the list in 1997 were the Quino Checkerspot & Laguna Mountains Skipper, types of these","Butterflies"
4922,2006-01-24,"WORLD HISTORY","None","This person was the reigning monarch of Great Britain when the U.S. national anthem was written","George III"
3496,1999-11-15,"FAMOUS NAMES","None","On a Feb. 1995 shuttle mission, pilot Eileen Collins took along a scarf that had belonged to this woman","Amelia Earhart"
3891,2001-07-02,"EUROPEAN CITIES","None","By the river Lagan on the island of Ireland, it was chartered in 1613 & settled by Presbyterians & later Huguenots","Belfast"
5538,2008-10-08,"EPIC MOVIES","None","An actress named Martha Scott played Charlton Heston's mother in both of these epics","Ben-Hur & The Ten Commandments"
4303,2003-04-23,"CHARACTERS","None","Person missing from: Rossweisse, Ortlinde, Siegrune, Grimgerde, Helmwige, Gerhilde, Waltraute & Schwertleite","Brunhilde (one of the Valkyries)"
6111,2011-03-21,"COMIC BOOK CHARACTERS ON SCREEN","None","From 1966 to 1968 this role was played by 2 different actresses in a TV series; it was also the title role in a 2004 film","Catwoman"
5412,2008-03-04,"SPACE: 2007","None","A NASA Mars lander has this mythic name because it was made of parts from a scrapped 2001 mission","Phoenix"
3524,1999-12-23,"LANGUAGES","None","Of the 6 official languages of the United Nations, the one spoken by the fewest people worldwide","French"
3661,2000-07-03,"1962","None","On October 28, 1962 this 68-year-old world leader ""blinked""","Nikita Khrushchev"
4539,2004-05-06,"INVENTIONS","None","11-year-old Frank Epperson invented this by accident when his fruit drink froze after being left outside overnight","the popsicle"
